nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
ABC_Mie_MieCupSeleraPedasGulaiAyamPedas_60G,280.0,7.0,3.0,1.12,7.0,2.0,0.0,22.149142494956294,2.046225614927905,20.10291688002839,E
ABC_Mie_MieRebusSeleraPedasGulaiAyamPedas_70G,110.0,6.0,3.0,2.1,6.0,2.0,0.0,16.97180851661768,3.888888888888889,13.082919627728792,D
Bestwok_Mie_MiGorengOriginal_85g,420.0,8.0,8.0,1.08,7.0,2.0,0.0,22.851997467543942,2.046225614927905,20.805771852616036,E
Bestwok_Mie_MiGorengBlackpepperSeafood_80g,400.0,9.0,5.0,0.97,7.0,2.0,0.0,24.706605097420006,2.046225614927905,22.6603794824921,E
Bestwok_Mie_MiGorengHot&Spicy_80g,400.0,8.0,7.0,0.96,7.0,3.0,0.0,22.703226711581028,2.8675449346405233,19.835681776940504,E
Lemonilo_Mie_MieInstantAlamiGoreng_65G,283.0,2.0,1.0,0.596,9.0,3.0,0.0,11.420713974844585,3.995238095238096,7.425475879606489,C
Lemonilo_Mie_MieInstantKuahAlamiAyamBawang_60G,267.0,2.0,1.0,0.948,9.0,3.0,0.0,10.491542744931861,3.995238095238096,6.496304649693765,C
BurungDara_Mie_MieTelurUraiOriginal_140G,510.0,1.0,1.0,1.1,21.0,4.0,0.0,12.756192664660416,2.1855859406720946,10.570606723988321,D
BurungDara_Mie_MieTelurUraiPipih_140G,510.0,1.0,1.0,1.11,21.0,4.0,0.0,12.756192664660416,2.1855859406720946,10.570606723988321,D
NongShim_Mie_InstantNoodleShinRamyunStirFry_131G,,,,,,,,,,,E
NongShim_Mie_PotatoNoodleSoup_110G,,,,,,,,,,,E
NongShim_Mie_InstantFriedNoodleBeefBulgogi_105G,,,,,,,,,,,E
NongShim_Mie_InstantFriedNoodleSeafoodBulgogi_105g,,,,,,,,,,,E
NongShim_Mie_KimchiRamyunSpicy_120G,,,,,,,,,,,E
NongShim_Mie_Chapagetti_140G,,,,,,,,,,,E
NongShim_Mie_InstantNoodleKimchRamyun_120g,260.0,5.0,3.0,1.23,5.0,0.0,0.0,17.92663974026923,4.230854360336433,13.695785379932797,D
NongShim_Mie_InstantNoodleShinRamyunShrimp_120g,497.0,8.0,2.8,2.216,11.5,0.0,0.0,27.07181804234177,4.954362012708227,22.117456029633544,E
NongShim_Mie_InstantNoodleKoreanClayPot_70g,307.0,6.3,2.6,1.23,5.2,0.0,0.0,20.274924953102843,4.207885304659498,16.067039648443345,D
NongShim_Mie_InstantNoodleKoreanClayPot_120g,505.0,8.2,3.5,2.29,11.4,0.0,0.0,21.974910830987724,5.377192982456137,16.597717848531587,D
NongShim_Mie_InstantNoodleUdon_120G,422.0,6.7,5.1,1.523,7.6,0.0,0.0,18.45451312361972,5.9014336917562735,12.553079431863445,D
NongShim_Mie_InstantNoodleKimchRamyun_70G,150.0,3.5,1.0,0.54,3.0,0.0,0.0,13.782681356388967,2.4989583333333334,11.283723023055632,D
NongShim_Mie_InstantNoodleShinRamyunSpicyMushroom_120G,504.0,8.3,2.2,1.74,10.2,0.0,0.0,24.794626423949072,7.5,17.294626423949072,D
NongShim_Mie_InstantNoodleShinRamyunSpicyMushroom_72G,309.0,5.4,1.9,1.829,6.0,0.0,0.0,16.230062724786418,3.888888888888889,12.341173835897528,D
Mama_Mie_MiGoreng_80g,370.0,13.0,0.0,0.79,0.0,2.0,0.0,14.252238938587832,1.0,13.252238938587832,D
Arirang_Mie_MieInstantKuahSumSum_110G,580.0,14.0,0.0,3.26,0.0,0.0,0.0,18.716526723106078,1.0,17.716526723106078,D
Arirang_Mie_MieInstantGorengPedas_130g,570.0,13.0,0.0,2.68,0.0,0.0,0.0,18.934922879412433,1.0,17.934922879412433,D
Arirang_Mie_MieInstantGorengAyam_130g,580.0,14.0,0.0,1.86,0.0,0.0,0.0,18.716526723106078,1.0,17.716526723106078,D
Sukses's_Mie_MieGorengIsi2AyamKecap_129G,590.0,10.0,11.0,1.17,14.0,10.0,0.0,22.63768084034285,4.416666666666666,18.22101417367618,E
Sukses's_Mie_MieGorengIsi2AyamKremes_133G,620.0,12.0,7.0,1.53,13.0,8.0,0.0,18.26341294025574,3.7222222222222223,14.54119071803352,D
3Ayam_Mie_MieTelorSuperKuning_200G,230.0,0.0,2.0,0.49,8.0,6.0,0.0,11.01138288240996,5.730696798493408,5.280686083916551,C
3Ayam_Mie_MieTelorSuperMerah_200G,240.0,0.0,2.0,0.49,7.0,5.0,0.0,11.57590837695914,2.80867952952083,8.767228847438309,C
