nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
Ultra_Teh_TehKotakJasmineTea_300mL,70,0.0,17.0,0.01,0,0,0,12.259259259259258,1.0,11.259259259259258,D
Ultra_Teh_TehKotakJasmineTea_500mL,70,0.0,16.0,0.005,0,0,0,7.863387978142076,1.0,6.863387978142076,C
Ultra_Teh_TehKotakLessSugar_300mL,70,0.0,15.0,0.005,0,0,0,9.62280701754386,1.0,8.62280701754386,C
Ultra_Teh_TehKotakApple_300mL,100,0.0,20.0,0.05,0,0,0,11.285225923848309,1.0,10.285225923848309,D
Ultra_Teh_TehKotakLemon_300mL,100,0.0,20.0,0.025,0,0,0,11.285225923848309,1.0,10.285225923848309,D
Ultra_Teh_TehKotakBlackcurrant_300mL,100,0.0,21.0,0.05,0,0,0,10.980954048131741,1.0,9.980954048131741,C
Frestea_Teh_MinumanOriginal_350mL,80,0.0,19.0,0.025,0,0,0,7.73075574582848,1.0,6.73075574582848,C
Frestea_Teh_MinumanApel_350mL,100,0.0,23.0,0.025,0,0,0,7.783756697673799,1.0,6.783756697673799,C
Frestea_Teh_MinumanMadu_350mL,90,0.0,21.0,0.05,0,0,0,10.849079112412204,1.0,9.849079112412204,C
Frestea_Teh_MinumanMelati_350mL,60,0.0,15.0,0.045,0,0,0,9.62280701754386,1.0,8.62280701754386,C
Frestea_Teh_MinumanApel_500mL,100,0.0,23.0,0.025,0,0,0,7.783756697673799,1.0,6.783756697673799,C
Frestea_Teh_MinumanMadu_500mL,90,0.0,21.0,0.05,0,0,0,10.849079112412204,1.0,9.849079112412204,C
Frestea_Teh_MinumanMelati_500mL,60,0.0,15.0,0.045,0,0,0,9.62280701754386,1.0,8.62280701754386,C
IchiOcha_Teh_MinumanTehHijau_350mL,80,0.0,20.0,0.03,0,0,0,11.331469936475065,1.0,10.331469936475065,D
IchiOcha_Teh_MinumanTehMaduLemon_350mL,110,0.0,25.0,0.02,0,0,0,12.346113406096986,1.0,11.346113406096986,D
IchiOcha_Teh_MinumanTehMelati_350mL,110,0.0,25.0,0.025,0,0,0,12.346113406096986,1.0,11.346113406096986,D
Panda_Teh_LiangTehGrassJelly_310mL,100,0.0,23.0,0.055,0,0,0,7.783756697673799,1.0,6.783756697673799,C
Ichitan_Susu_MinumanKoreanBananaMilk_300mL,170,2.5,21.0,0.15,7,0,0,16.83439822345061,2.046225614927905,14.788172608522704,D
Ichitan_Susu_MinumanKoreanStrawberryMilk_300mL,160,3.5,17.0,0.21,3,0,0,15.291683788168312,2.4989583333333334,12.79272545483498,D
Ichitan_Susu_MinumanBrownSugarMilk_310mL,160,5.0,19.0,0.17,3,0,0,16.17905766842443,2.4989583333333334,13.680099335091096,D
